"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2015"	"2015"	685	908974	75.4
	"Alabama"	"01"	"2016"	"2016"	707	902563	78.3
	"Alabama"	"01"	"2017"	"2017"	643	903298	71.2
	"Alabama"	"01"	"2018"	"2018"	600	901598	66.5
	"Alabama"	"01"	"2019"	"2019"	688	902823	76.2
	"Alabama"	"01"	"2020 "	"2020"	598	901534	66.3
	"Alaska"	"02"	"2015"	"2015"	123	156362	78.7
	"Alaska"	"02"	"2016"	"2016"	100	157237	63.6
	"Alaska"	"02"	"2017"	"2017"	114	155618	73.3
	"Alaska"	"02"	"2018"	"2018"	97	154930	62.6
	"Alaska"	"02"	"2019"	"2019"	88	151742	58.0
	"Alaska"	"02"	"2020 "	"2020"	92	150422	61.2
	"Arizona"	"04"	"2015"	"2015"	670	1347041	49.7
	"Arizona"	"04"	"2016"	"2016"	687	1352500	50.8
	"Arizona"	"04"	"2017"	"2017"	705	1354324	52.1
	"Arizona"	"04"	"2018"	"2018"	696	1364083	51.0
	"Arizona"	"04"	"2019"	"2019"	653	1360533	48.0
	"Arizona"	"04"	"2020 "	"2020"	649	1361815	47.7
	"Arkansas"	"05"	"2015"	"2015"	407	585224	69.5
	"Arkansas"	"05"	"2016"	"2016"	434	584338	74.3
	"Arkansas"	"05"	"2017"	"2017"	431	585736	73.6
	"Arkansas"	"05"	"2018"	"2018"	419	584413	71.7
	"Arkansas"	"05"	"2019"	"2019"	375	581677	64.5
	"Arkansas"	"05"	"2020 "	"2020"	390	579962	67.2
	"California"	"06"	"2015"	"2015"	3005	7571124	39.7
	"California"	"06"	"2016"	"2016"	2984	7549473	39.5
	"California"	"06"	"2017"	"2017"	2853	7528645	37.9
	"California"	"06"	"2018"	"2018"	2729	7478175	36.5
	"California"	"06"	"2019"	"2019"	2683	7391703	36.3
	"California"	"06"	"2020 "	"2020"	2509	7284284	34.4
	"Colorado"	"08"	"2015"	"2015"	457	1049255	43.6
	"Colorado"	"08"	"2016"	"2016"	466	1050483	44.4
	"Colorado"	"08"	"2017"	"2017"	449	1049246	42.8
	"Colorado"	"08"	"2018"	"2018"	474	1050185	45.1
	"Colorado"	"08"	"2019"	"2019"	444	1042523	42.6
	"Colorado"	"08"	"2020 "	"2020"	421	1030859	40.8
	"Connecticut"	"09"	"2015"	"2015"	249	619139	40.2
	"Connecticut"	"09"	"2016"	"2016"	237	610072	38.8
	"Connecticut"	"09"	"2017"	"2017"	227	602794	37.7
	"Connecticut"	"09"	"2018"	"2018"	209	597042	35.0
	"Connecticut"	"09"	"2019"	"2019"	207	590710	35.0
	"Connecticut"	"09"	"2020 "	"2020"	201	583654	34.4
	"Delaware"	"10"	"2015"	"2015"	122	169347	72.0
	"Delaware"	"10"	"2016"	"2016"	111	168903	65.7
	"Delaware"	"10"	"2017"	"2017"	98	169267	57.9
	"Delaware"	"10"	"2018"	"2018"	94	168712	55.7
	"Delaware"	"10"	"2019"	"2019"	96	168694	56.9
	"Delaware"	"10"	"2020 "	"2020"	75	169379	44.3
	"District of Columbia"	"11"	"2015"	"2015"	103	102637	100.4
	"District of Columbia"	"11"	"2016"	"2016"	87	105325	82.6
	"District of Columbia"	"11"	"2017"	"2017"	89	108761	81.8
	"District of Columbia"	"11"	"2018"	"2018"	80	111812	71.5
	"District of Columbia"	"11"	"2019"	"2019"	64	112766	56.8
	"District of Columbia"	"11"	"2020 "	"2020"	65	114070	57.0
	"Florida"	"12"	"2015"	"2015"	1964	3384554	58.0
	"Florida"	"12"	"2016"	"2016"	1944	3423335	56.8
	"Florida"	"12"	"2017"	"2017"	1968	3470863	56.7
	"Florida"	"12"	"2018"	"2018"	1878	3507017	53.5
	"Florida"	"12"	"2019"	"2019"	1856	3512139	52.8
	"Florida"	"12"	"2020 "	"2020"	1802	3525573	51.1
	"Georgia"	"13"	"2015"	"2015"	1405	2076535	67.7
	"Georgia"	"13"	"2016"	"2016"	1342	2075877	64.6
	"Georgia"	"13"	"2017"	"2017"	1282	2076045	61.8
	"Georgia"	"13"	"2018"	"2018"	1241	2071076	59.9
	"Georgia"	"13"	"2019"	"2019"	1273	2069569	61.5
	"Georgia"	"13"	"2020 "	"2020"	1164	2061725	56.5
	"Hawaii"	"15"	"2015"	"2015"	139	262628	52.9
	"Hawaii"	"15"	"2016"	"2016"	148	260336	56.8
	"Hawaii"	"15"	"2017"	"2017"	134	258899	51.8
	"Hawaii"	"15"	"2018"	"2018"	146	256527	56.9
	"Hawaii"	"15"	"2019"	"2019"	128	252805	50.6
	"Hawaii"	"15"	"2020 "	"2020"	105	250169	42.0
	"Idaho"	"16"	"2015"	"2015"	154	360231	42.8
	"Idaho"	"16"	"2016"	"2016"	211	363094	58.1
	"Idaho"	"16"	"2017"	"2017"	170	368289	46.2
	"Idaho"	"16"	"2018"	"2018"	161	370340	43.5
	"Idaho"	"16"	"2019"	"2019"	177	370988	47.7
	"Idaho"	"16"	"2020 "	"2020"	164	371675	44.1
	"Illinois"	"17"	"2015"	"2015"	1291	2442270	52.9
	"Illinois"	"17"	"2016"	"2016"	1290	2412416	53.5
	"Illinois"	"17"	"2017"	"2017"	1282	2389800	53.6
	"Illinois"	"17"	"2018"	"2018"	1290	2357869	54.7
	"Illinois"	"17"	"2019"	"2019"	1092	2322679	47.0
	"Illinois"	"17"	"2020 "	"2020"	1069	2285800	46.8
	"Indiana"	"18"	"2015"	"2015"	836	1304430	64.1
	"Indiana"	"18"	"2016"	"2016"	846	1300309	65.1
	"Indiana"	"18"	"2017"	"2017"	847	1299589	65.2
	"Indiana"	"18"	"2018"	"2018"	779	1297240	60.1
	"Indiana"	"18"	"2019"	"2019"	753	1297321	58.0
	"Indiana"	"18"	"2020 "	"2020"	772	1295474	59.6
	"Iowa"	"19"	"2015"	"2015"	269	605524	44.4
	"Iowa"	"19"	"2016"	"2016"	344	607020	56.7
	"Iowa"	"19"	"2017"	"2017"	300	608299	49.3
	"Iowa"	"19"	"2018"	"2018"	284	607897	46.7
	"Iowa"	"19"	"2019"	"2019"	281	604131	46.5
	"Iowa"	"19"	"2020 "	"2020"	261	601584	43.4
	"Kansas"	"20"	"2015"	"2015"	335	599497	55.9
	"Kansas"	"20"	"2016"	"2016"	326	595053	54.8
	"Kansas"	"20"	"2017"	"2017"	328	593228	55.3
	"Kansas"	"20"	"2018"	"2018"	328	587402	55.8
	"Kansas"	"20"	"2019"	"2019"	296	581597	50.9
	"Kansas"	"20"	"2020 "	"2020"	321	577419	55.6
	"Kentucky"	"21"	"2015"	"2015"	538	838887	64.1
	"Kentucky"	"21"	"2016"	"2016"	537	836943	64.2
	"Kentucky"	"21"	"2017"	"2017"	503	838293	60.0
	"Kentucky"	"21"	"2018"	"2018"	457	837926	54.5
	"Kentucky"	"21"	"2019"	"2019"	420	833027	50.4
	"Kentucky"	"21"	"2020 "	"2020"	488	830613	58.8
	"Louisiana"	"22"	"2015"	"2015"	743	928372	80.0
	"Louisiana"	"22"	"2016"	"2016"	729	926601	78.7
	"Louisiana"	"22"	"2017"	"2017"	640	924199	69.2
	"Louisiana"	"22"	"2018"	"2018"	657	915944	71.7
	"Louisiana"	"22"	"2019"	"2019"	659	909405	72.5
	"Louisiana"	"22"	"2020 "	"2020"	635	902444	70.4
	"Maine"	"23"	"2015"	"2015"	108	208670	51.8
	"Maine"	"23"	"2016"	"2016"	105	207561	50.6
	"Maine"	"23"	"2017"	"2017"	99	206402	48.0
	"Maine"	"23"	"2018"	"2018"	89	205113	43.4
	"Maine"	"23"	"2019"	"2019"	89	203637	43.7
	"Maine"	"23"	"2020 "	"2020"	96	202573	47.4
	"Maryland"	"24"	"2015"	"2015"	676	1118162	60.5
	"Maryland"	"24"	"2016"	"2016"	640	1117097	57.3
	"Maryland"	"24"	"2017"	"2017"	616	1116908	55.2
	"Maryland"	"24"	"2018"	"2018"	572	1113454	51.4
	"Maryland"	"24"	"2019"	"2019"	560	1109806	50.5
	"Maryland"	"24"	"2020 "	"2020"	533	1107955	48.1
	"Massachusetts"	"25"	"2015"	"2015"	428	1136539	37.7
	"Massachusetts"	"25"	"2016"	"2016"	395	1127415	35.0
	"Massachusetts"	"25"	"2017"	"2017"	384	1121237	34.2
	"Massachusetts"	"25"	"2018"	"2018"	401	1119313	35.8
	"Massachusetts"	"25"	"2019"	"2019"	360	1108397	32.5
	"Massachusetts"	"25"	"2020 "	"2020"	330	1099049	30.0
	"Michigan"	"26"	"2015"	"2015"	1050	1804630	58.2
	"Michigan"	"26"	"2016"	"2016"	1055	1791477	58.9
	"Michigan"	"26"	"2017"	"2017"	1034	1783444	58.0
	"Michigan"	"26"	"2018"	"2018"	1024	1778233	57.6
	"Michigan"	"26"	"2019"	"2019"	996	1763131	56.5
	"Michigan"	"26"	"2020 "	"2020"	980	1748988	56.0
	"Minnesota"	"27"	"2015"	"2015"	504	1069825	47.1
	"Minnesota"	"27"	"2016"	"2016"	507	1072998	47.3
	"Minnesota"	"27"	"2017"	"2017"	466	1082731	43.0
