"Notes"	"Occurrence State"	"Occurrence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	4401	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	4277	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	4387	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	4493	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	4647	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	4470	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	5296	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	5296	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	4738	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	4799	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	5124	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	6569	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	7332	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	5156	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	4654	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	4507	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	4457	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	4248	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	4465	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	6039	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	6130	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	5070	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	4626	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	4839	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	6263	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	5565	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	4613	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	4131	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	4170	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	4205	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	4387	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	4368	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	4282	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Oct., 2022"	"2022/10"	4646	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Nov., 2022"	"2022/11"	4489	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Dec., 2022"	"2022/12"	4919	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	4907	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	4399	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	4524	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	4249	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"May, 2023 (provisional)"	"2023/05"	4464	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jun., 2023 (provisional)"	"2023/06"	4023	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jul., 2023 (provisional)"	"2023/07"	4336	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Aug., 2023 (provisional)"	"2023/08"	4410	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Sep., 2023 (provisional)"	"2023/09"	4168	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Oct., 2023 (provisional)"	"2023/10"	4306	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Nov., 2023 (provisional)"	"2023/11"	4330	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Dec., 2023 (provisional)"	"2023/12"	5035	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jan., 2020"	"2020/01"	369	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Feb., 2020"	"2020/02"	312	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Mar., 2020"	"2020/03"	300	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Apr., 2020"	"2020/04"	312	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"May, 2020"	"2020/05"	324	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jun., 2020"	"2020/06"	313	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jul., 2020"	"2020/07"	350	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Aug., 2020"	"2020/08"	363	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Sep., 2020"	"2020/09"	356	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Oct., 2020"	"2020/10"	398	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Nov., 2020"	"2020/11"	436	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Dec., 2020"	"2020/12"	446	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jan., 2021"	"2021/01"	406	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Feb., 2021"	"2021/02"	319	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Mar., 2021"	"2021/03"	348	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Apr., 2021"	"2021/04"	347	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"May, 2021"	"2021/05"	353	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jun., 2021"	"2021/06"	348	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jul., 2021"	"2021/07"	393	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Aug., 2021"	"2021/08"	492	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Sep., 2021"	"2021/09"	568	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Oct., 2021"	"2021/10"	617	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Nov., 2021"	"2021/11"	507	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Dec., 2021"	"2021/12"	482	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Jan., 2022"	"2022/01"	454	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Feb., 2022"	"2022/02"	369	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Mar., 2022"	"2022/03"	386	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Apr., 2022"	"2022/04"	356	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"May, 2022"	"2022/05"	373	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Jun., 2022"	"2022/06"	396	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Jul., 2022"	"2022/07"	397	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Aug., 2022"	"2022/08"	393	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Sep., 2022"	"2022/09"	392	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Oct., 2022"	"2022/10"	388	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Nov., 2022"	"2022/11"	368	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Dec., 2022"	"2022/12"	466	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	429	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	359	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	377	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	370	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional)"	"2023"	"May, 2023 (provisional)"	"2023/05"	354	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional)"	"2023"	"Jun., 2023 (provisional)"	"2023/06"	357	Not Applicable	Not Applicable
