"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - ICD Chapter"	"MCD - ICD Chapter Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2015"	"2015"	"Certain infectious and parasitic diseases"	"A00-B99"	4203	4858979	86.5
	"Alabama"	"01"	"2015"	"2015"	"Neoplasms"	"C00-D48"	11256	4858979	231.7
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1039	4858979	21.4
	"Alabama"	"01"	"2015"	"2015"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	5518	4858979	113.6
	"Alabama"	"01"	"2015"	"2015"	"Mental and behavioural disorders"	"F01-F99"	4717	4858979	97.1
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the nervous system"	"G00-G98"	5299	4858979	109.1
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the eye and adnexa"	"H00-H59"	31	4858979	0.6
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the ear and mastoid process"	"H60-H95"	13	4858979	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the circulatory system"	"I00-I99"	26492	4858979	545.2
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the respiratory system"	"J00-J98"	12160	4858979	250.3
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the digestive system"	"K00-K92"	3369	4858979	69.3
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	389	4858979	8.0
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	729	4858979	15.0
	"Alabama"	"01"	"2015"	"2015"	"Diseases of the genitourinary system"	"N00-N99"	4264	4858979	87.8
	"Alabama"	"01"	"2015"	"2015"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	13	4858979	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"Certain conditions originating in the perinatal period"	"P00-P96"	300	4858979	6.2
	"Alabama"	"01"	"2015"	"2015"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	219	4858979	4.5
	"Alabama"	"01"	"2015"	"2015"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	6327	4858979	130.2
	"Alabama"	"01"	"2015"	"2015"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	4511	4858979	92.8
	"Alabama"	"01"	"2015"	"2015"	"Codes for special purposes"	"U00-U99"	0	4858979	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"External causes of morbidity and mortality"	"V01-Y89"	4659	4858979	95.9
	"Alabama"	"01"	"2016"	"2016"	"Certain infectious and parasitic diseases"	"A00-B99"	4380	4863300	90.1
	"Alabama"	"01"	"2016"	"2016"	"Neoplasms"	"C00-D48"	11337	4863300	233.1
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	1066	4863300	21.9
	"Alabama"	"01"	"2016"	"2016"	"Endocrine, nutritional and metabolic diseases"	"E00-E89"	5493	4863300	112.9
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders"	"F01-F99"	7546	4863300	155.2
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the nervous system"	"G00-G98"	5770	4863300	118.6
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the eye and adnexa"	"H00-H59"	24	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the ear and mastoid process"	"H60-H95"	20	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the circulatory system"	"I00-I99"	26453	4863300	543.9
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the respiratory system"	"J00-J98"	12385	4863300	254.7
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the digestive system"	"K00-K92"	3458	4863300	71.1
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	298	4863300	6.1
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	673	4863300	13.8
	"Alabama"	"01"	"2016"	"2016"	"Diseases of the genitourinary system"	"N00-N99"	4376	4863300	90.0
	"Alabama"	"01"	"2016"	"2016"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	52	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Certain conditions originating in the perinatal period"	"P00-P96"	334	4863300	6.9
	"Alabama"	"01"	"2016"	"2016"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	226	4863300	4.6
	"Alabama"	"01"	"2016"	"2016"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	6403	4863300	131.7
	"Alabama"	"01"	"2016"	"2016"	"Injury, poisoning and certain other consequences of external causes"	"S00-T98"	4779	4863300	98.3
	"Alabama"	"01"	"2016"	"2016"	"Codes for special purposes"	"U00-U99"	0	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"External causes of morbidity and mortality"	"V01-Y89"	4943	4863300	101.6
