"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	54352	4887871	1112.0
	"Alabama"	"01"	"2019"	"2019"	54108	4903185	1103.5
	"Alabama"	"01"	"2020"	"2020"	64779	4921532	1316.2
	"Alabama"	"01"	"2021"	"2021"	68889	5039877	1366.9
	"Alabama"	"01"	"2022"	"2022"	62294	5074296	1227.6
	"Alabama"	"01"	"2023 (provisional)"	"2023"	59218	5074296	1167.0
	"Alabama"	"01"	"2024 (provisional and partial)"	"2024"	22427	5074296	442.0
	"Alaska"	"02"	"2018"	"2018"	4453	737438	603.8
	"Alaska"	"02"	"2019"	"2019"	4613	731545	630.6
	"Alaska"	"02"	"2020"	"2020"	5170	731158	707.1
	"Alaska"	"02"	"2021"	"2021"	6208	732673	847.3
	"Alaska"	"02"	"2022"	"2022"	5719	733583	779.6
	"Alaska"	"02"	"2023 (provisional)"	"2023"	5530	733583	753.8
	"Alaska"	"02"	"2024 (provisional and partial)"	"2024"	1893	733583	258.0
	"Arizona"	"04"	"2018"	"2018"	59282	7171646	826.6
	"Arizona"	"04"	"2019"	"2019"	60236	7278717	827.6
	"Arizona"	"04"	"2020"	"2020"	75747	7421401	1020.7
	"Arizona"	"04"	"2021"	"2021"	81442	7276316	1119.3
	"Arizona"	"04"	"2022"	"2022"	74082	7359197	1006.7
	"Arizona"	"04"	"2023 (provisional)"	"2023"	69335	7359197	942.2
	"Arizona"	"04"	"2024 (provisional and partial)"	"2024"	27550	7359197	374.4
	"Arkansas"	"05"	"2018"	"2018"	32336	3013825	1072.9
	"Arkansas"	"05"	"2019"	"2019"	32888	3017804	1089.8
	"Arkansas"	"05"	"2020"	"2020"	38108	3030522	1257.5
	"Arkansas"	"05"	"2021"	"2021"	40070	3025891	1324.2
	"Arkansas"	"05"	"2022"	"2022"	37855	3045637	1242.9
	"Arkansas"	"05"	"2023 (provisional)"	"2023"	35755	3045637	1174.0
	"Arkansas"	"05"	"2024 (provisional and partial)"	"2024"	14198	3045637	466.2
	"California"	"06"	"2018"	"2018"	268818	39557045	679.6
	"California"	"06"	"2019"	"2019"	269831	39512223	682.9
	"California"	"06"	"2020"	"2020"	319808	39368078	812.4
	"California"	"06"	"2021"	"2021"	333249	39237836	849.3
	"California"	"06"	"2022"	"2022"	313161	39029342	802.4
	"California"	"06"	"2023 (provisional)"	"2023"	294651	39029342	754.9
	"California"	"06"	"2024 (provisional and partial)"	"2024"	112397	39029342	288.0
	"Colorado"	"08"	"2018"	"2018"	38526	5695564	676.4
	"Colorado"	"08"	"2019"	"2019"	39390	5758736	684.0
	"Colorado"	"08"	"2020"	"2020"	46918	5807719	807.9
	"Colorado"	"08"	"2021"	"2021"	48281	5812069	830.7
	"Colorado"	"08"	"2022"	"2022"	46787	5839926	801.2
	"Colorado"	"08"	"2023 (provisional)"	"2023"	44968	5839926	770.0
	"Colorado"	"08"	"2024 (provisional and partial)"	"2024"	17441	5839926	298.7
	"Connecticut"	"09"	"2018"	"2018"	31230	3572665	874.1
	"Connecticut"	"09"	"2019"	"2019"	31745	3565287	890.4
	"Connecticut"	"09"	"2020"	"2020"	37853	3557006	1064.2
	"Connecticut"	"09"	"2021"	"2021"	34333	3605597	952.2
	"Connecticut"	"09"	"2022"	"2022"	34583	3626205	953.7
	"Connecticut"	"09"	"2023 (provisional)"	"2023"	32522	3626205	896.9
	"Connecticut"	"09"	"2024 (provisional and partial)"	"2024"	12417	3626205	342.4
	"Delaware"	"10"	"2018"	"2018"	9433	967171	975.3
	"Delaware"	"10"	"2019"	"2019"	9302	973764	955.3
	"Delaware"	"10"	"2020"	"2020"	11072	986809	1122.0
	"Delaware"	"10"	"2021"	"2021"	11296	1003384	1125.8
	"Delaware"	"10"	"2022"	"2022"	11351	1018396	1114.6
	"Delaware"	"10"	"2023 (provisional)"	"2023"	10646	1018396	1045.4
	"Delaware"	"10"	"2024 (provisional and partial)"	"2024"	4142	1018396	406.7
	"District of Columbia"	"11"	"2018"	"2018"	5008	702455	712.9
	"District of Columbia"	"11"	"2019"	"2019"	4927	705749	698.1
	"District of Columbia"	"11"	"2020"	"2020"	6198	712816	869.5
	"District of Columbia"	"11"	"2021"	"2021"	5833	670050	870.5
	"District of Columbia"	"11"	"2022"	"2022"	5385	671803	801.6
	"District of Columbia"	"11"	"2023 (provisional)"	"2023"	4915	671803	731.6
	"District of Columbia"	"11"	"2024 (provisional and partial)"	"2024"	1832	671803	272.7
	"Florida"	"12"	"2018"	"2018"	205426	21299325	964.5
	"Florida"	"12"	"2019"	"2019"	207002	21477737	963.8
	"Florida"	"12"	"2020"	"2020"	239685	21733312	1102.8
	"Florida"	"12"	"2021"	"2021"	261369	21781128	1200.0
	"Florida"	"12"	"2022"	"2022"	239119	22244823	1074.9
	"Florida"	"12"	"2023 (provisional)"	"2023"	228906	22244823	1029.0
	"Florida"	"12"	"2024 (provisional and partial)"	"2024"	90352	22244823	406.2
	"Georgia"	"13"	"2018"	"2018"	85202	10519475	809.9
	"Georgia"	"13"	"2019"	"2019"	85814	10617423	808.2
	"Georgia"	"13"	"2020"	"2020"	103075	10710017	962.4
	"Georgia"	"13"	"2021"	"2021"	112272	10799566	1039.6
	"Georgia"	"13"	"2022"	"2022"	102342	10912876	937.8
	"Georgia"	"13"	"2023 (provisional)"	"2023"	96369	10912876	883.1
	"Georgia"	"13"	"2024 (provisional and partial)"	"2024"	35752	10912876	327.6
	"Hawaii"	"15"	"2018"	"2018"	11415	1420491	803.6
	"Hawaii"	"15"	"2019"	"2019"	11559	1415872	816.4
	"Hawaii"	"15"	"2020"	"2020"	12033	1407006	855.2
	"Hawaii"	"15"	"2021"	"2021"	12816	1441553	889.0
	"Hawaii"	"15"	"2022"	"2022"	13228	1440196	918.5
	"Hawaii"	"15"	"2023 (provisional)"	"2023"	12631	1440196	877.0
	"Hawaii"	"15"	"2024 (provisional and partial)"	"2024"	5003	1440196	347.4
	"Idaho"	"16"	"2018"	"2018"	14261	1754208	813.0
	"Idaho"	"16"	"2019"	"2019"	14430	1787065	807.5
	"Idaho"	"16"	"2020"	"2020"	16402	1826913	897.8
	"Idaho"	"16"	"2021"	"2021"	18346	1900923	965.1
	"Idaho"	"16"	"2022"	"2022"	17162	1939033	885.1
	"Idaho"	"16"	"2023 (provisional)"	"2023"	16473	1939033	849.5
	"Idaho"	"16"	"2024 (provisional and partial)"	"2024"	6477	1939033	334.0
	"Illinois"	"17"	"2018"	"2018"	110022	12741080	863.5
	"Illinois"	"17"	"2019"	"2019"	109096	12671821	860.9
	"Illinois"	"17"	"2020"	"2020"	132663	12587530	1053.9
	"Illinois"	"17"	"2021"	"2021"	125048	12671469	986.8
	"Illinois"	"17"	"2022"	"2022"	122963	12582032	977.3
	"Illinois"	"17"	"2023 (provisional)"	"2023"	113746	12582032	904.0
	"Illinois"	"17"	"2024 (provisional and partial)"	"2024"	44738	12582032	355.6
	"Indiana"	"18"	"2018"	"2018"	65693	6691878	981.7
	"Indiana"	"18"	"2019"	"2019"	66001	6732219	980.4
	"Indiana"	"18"	"2020"	"2020"	78194	6754953	1157.6
	"Indiana"	"18"	"2021"	"2021"	78317	6805985	1150.7
	"Indiana"	"18"	"2022"	"2022"	75368	6833037	1103.0
	"Indiana"	"18"	"2023 (provisional)"	"2023"	69938	6833037	1023.5
	"Indiana"	"18"	"2024 (provisional and partial)"	"2024"	26524	6833037	388.2
	"Iowa"	"19"	"2018"	"2018"	30367	3156145	962.2
