"Notes"	"Occurrence State"	"Occurrence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	4725	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	4625	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	4756	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	4877	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	5108	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	4899	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	5716	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	5764	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	5108	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	5197	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	5545	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	7024	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	7821	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	5554	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	5076	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	4972	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	4910	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	4697	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	4918	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	6652	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	6765	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	5600	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	5031	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	5322	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	6694	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	5964	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	5010	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	4553	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	4608	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	4618	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	4864	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	4822	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	4692	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Oct., 2022"	"2022/10"	5072	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Nov., 2022"	"2022/11"	4893	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Dec., 2022"	"2022/12"	5325	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	5367	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	4783	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	4967	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	4655	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"May, 2023 (provisional)"	"2023/05"	4927	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jun., 2023 (provisional)"	"2023/06"	4435	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jul., 2023 (provisional)"	"2023/07"	4770	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Aug., 2023 (provisional)"	"2023/08"	4837	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Sep., 2023 (provisional)"	"2023/09"	4573	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Oct., 2023 (provisional)"	"2023/10"	4683	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Nov., 2023 (provisional)"	"2023/11"	4695	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Dec., 2023 (provisional)"	"2023/12"	5459	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jan., 2020"	"2020/01"	421	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Feb., 2020"	"2020/02"	363	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Mar., 2020"	"2020/03"	356	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Apr., 2020"	"2020/04"	357	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"May, 2020"	"2020/05"	386	Not Applicable	Not Applicable
