"Notes"	"Occurrence State"	"Occurrence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"35-44 years"	"35-44"	132	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"45-54 years"	"45-54"	297	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"55-64 years"	"55-64"	718	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"65-74 years"	"65-74"	1034	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"75-84 years"	"75-84"	1176	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	"85+ years"	"85+"	1176	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"35-44 years"	"35-44"	153	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"45-54 years"	"45-54"	295	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"55-64 years"	"55-64"	743	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"65-74 years"	"65-74"	967	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"75-84 years"	"75-84"	1159	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	"85+ years"	"85+"	1113	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"35-44 years"	"35-44"	164	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"45-54 years"	"45-54"	314	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"55-64 years"	"55-64"	706	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"65-74 years"	"65-74"	1051	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"75-84 years"	"75-84"	1165	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	"85+ years"	"85+"	1151	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"35-44 years"	"35-44"	173	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"45-54 years"	"45-54"	322	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"55-64 years"	"55-64"	715	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"65-74 years"	"65-74"	1061	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	"75-84 years"	"75-84"	1224	Not Applicable	Not Applicable
