"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"2015"	"2015"	495	58017	853.2
	"Alabama"	"01"	"< 1 year"	"1"	"2016"	"2016"	537	58269	921.6
	"Alabama"	"01"	"< 1 year"	"1"	"2017"	"2017"	434	57902	749.5
	"Alabama"	"01"	"< 1 year"	"1"	"2018"	"2018"	405	56739	713.8
	"Alabama"	"01"	"< 1 year"	"1"	"2019"	"2019"	449	56901	789.1
	"Alabama"	"01"	"< 1 year"	"1"	"2020 "	"2020"	404	56246	718.3
	"Alabama"	"01"	"1-4 years"	"1-4"	"2015"	"2015"	78	234956	33.2
	"Alabama"	"01"	"1-4 years"	"1-4"	"2016"	"2016"	74	234296	31.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2017"	"2017"	93	235652	39.5
	"Alabama"	"01"	"1-4 years"	"1-4"	"2018"	"2018"	89	236464	37.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2019"	"2019"	113	237456	47.6
	"Alabama"	"01"	"1-4 years"	"1-4"	"2020 "	"2020"	90	235674	38.2
	"Alabama"	"01"	"5-14 years"	"5-14"	"2015"	"2015"	112	616001	18.2
	"Alabama"	"01"	"5-14 years"	"5-14"	"2016"	"2016"	96	609998	15.7
	"Alabama"	"01"	"5-14 years"	"5-14"	"2017"	"2017"	116	609744	19.0
	"Alabama"	"01"	"5-14 years"	"5-14"	"2018"	"2018"	106	608395	17.4
	"Alabama"	"01"	"5-14 years"	"5-14"	"2019"	"2019"	126	608466	20.7
	"Alabama"	"01"	"5-14 years"	"5-14"	"2020 "	"2020"	104	609614	17.1
	"Alabama"	"01"	"15-24 years"	"15-24"	"2015"	"2015"	642	663182	96.8
	"Alabama"	"01"	"15-24 years"	"15-24"	"2016"	"2016"	741	653876	113.3
	"Alabama"	"01"	"15-24 years"	"15-24"	"2017"	"2017"	653	648404	100.7
