"Notes"	"Occurrence State"	"Occurrence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2020"	"2020/02"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2020"	"2020/03"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2020"	"2020/04"	317	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2020"	"2020/05"	403	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2020"	"2020/06"	371	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2020"	"2020/07"	807	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2020"	"2020/08"	913	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2020"	"2020/09"	532	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2020"	"2020/10"	511	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2020"	"2020/11"	711	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2020"	"2020/12"	1650	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2021"	"2021/01"	2292	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2021"	"2021/02"	903	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2021"	"2021/03"	341	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2021"	"2021/04"	191	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2021"	"2021/05"	184	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2021"	"2021/06"	111	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2021"	"2021/07"	241	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2021"	"2021/08"	1604	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2021"	"2021/09"	1902	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2021"	"2021/10"	789	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2021"	"2021/11"	264	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2021"	"2021/12"	275	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jan., 2022"	"2022/01"	1067	Not Applicable	Not Applicable
	"Alabama"	"01"	"Feb., 2022"	"2022/02"	1105	Not Applicable	Not Applicable
	"Alabama"	"01"	"Mar., 2022"	"2022/03"	296	Not Applicable	Not Applicable
	"Alabama"	"01"	"Apr., 2022"	"2022/04"	57	Not Applicable	Not Applicable
	"Alabama"	"01"	"May, 2022"	"2022/05"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jun., 2022"	"2022/06"	87	Not Applicable	Not Applicable
	"Alabama"	"01"	"Jul., 2022"	"2022/07"	187	Not Applicable	Not Applicable
	"Alabama"	"01"	"Aug., 2022"	"2022/08"	197	Not Applicable	Not Applicable
	"Alabama"	"01"	"Sep., 2022"	"2022/09"	141	Not Applicable	Not Applicable
	"Alabama"	"01"	"Oct., 2022"	"2022/10"	78	Not Applicable	Not Applicable
	"Alabama"	"01"	"Nov., 2022"	"2022/11"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"Dec., 2022"	"2022/12"	121	Not Applicable	Not Applicable
