"Notes"	"Age Group"	"Age Group Code"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Projected Populations
	"0-4 years"	"0-4"	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	145612
	"0-4 years"	"0-4"	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	151645
	"0-4 years"	"0-4"	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	145331
	"0-4 years"	"0-4"	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	151348
	"0-4 years"	"0-4"	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	144987
	"0-4 years"	"0-4"	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	150987
	"0-4 years"	"0-4"	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	144656
	"0-4 years"	"0-4"	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	150644
	"0-4 years"	"0-4"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	144374
	"0-4 years"	"0-4"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	150366
	"0-4 years"	"0-4"	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	144194
	"0-4 years"	"0-4"	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	150197
	"0-4 years"	"0-4"	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	144149
	"0-4 years"	"0-4"	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	150181
	"0-4 years"	"0-4"	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	144267
	"0-4 years"	"0-4"	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	150334
	"0-4 years"	"0-4"	"Alabama"	"01"	"2021"	"2021"	"Female"	"F"	144544
	"0-4 years"	"0-4"	"Alabama"	"01"	"2021"	"2021"	"Male"	"M"	150653
	"0-4 years"	"0-4"	"Alabama"	"01"	"2022"	"2022"	"Female"	"F"	144988
	"0-4 years"	"0-4"	"Alabama"	"01"	"2022"	"2022"	"Male"	"M"	151138
	"0-4 years"	"0-4"	"Alabama"	"01"	"2023"	"2023"	"Female"	"F"	145572
	"0-4 years"	"0-4"	"Alabama"	"01"	"2023"	"2023"	"Male"	"M"	151777
	"0-4 years"	"0-4"	"Alabama"	"01"	"2024"	"2024"	"Female"	"F"	146295
	"0-4 years"	"0-4"	"Alabama"	"01"	"2024"	"2024"	"Male"	"M"	152572
	"0-4 years"	"0-4"	"Alaska"	"02"	"2013"	"2013"	"Female"	"F"	30218
	"0-4 years"	"0-4"	"Alaska"	"02"	"2013"	"2013"	"Male"	"M"	32214
	"0-4 years"	"0-4"	"Alaska"	"02"	"2014"	"2014"	"Female"	"F"	30735
	"0-4 years"	"0-4"	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	32713
	"0-4 years"	"0-4"	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	31159
	"0-4 years"	"0-4"	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	33116
	"0-4 years"	"0-4"	"Alaska"	"02"	"2016"	"2016"	"Female"	"F"	31514
	"0-4 years"	"0-4"	"Alaska"	"02"	"2016"	"2016"	"Male"	"M"	33437
	"0-4 years"	"0-4"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	31797
	"0-4 years"	"0-4"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	33694
	"0-4 years"	"0-4"	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	32049
	"0-4 years"	"0-4"	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	33894
	"0-4 years"	"0-4"	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	32258
	"0-4 years"	"0-4"	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	34071
	"0-4 years"	"0-4"	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	32447
	"0-4 years"	"0-4"	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	34222
	"0-4 years"	"0-4"	"Alaska"	"02"	"2021"	"2021"	"Female"	"F"	32630
	"0-4 years"	"0-4"	"Alaska"	"02"	"2021"	"2021"	"Male"	"M"	34359
	"0-4 years"	"0-4"	"Alaska"	"02"	"2022"	"2022"	"Female"	"F"	32819
	"0-4 years"	"0-4"	"Alaska"	"02"	"2022"	"2022"	"Male"	"M"	34491
	"0-4 years"	"0-4"	"Alaska"	"02"	"2023"	"2023"	"Female"	"F"	33043
	"0-4 years"	"0-4"	"Alaska"	"02"	"2023"	"2023"	"Male"	"M"	34655
	"0-4 years"	"0-4"	"Alaska"	"02"	"2024"	"2024"	"Female"	"F"	33317
	"0-4 years"	"0-4"	"Alaska"	"02"	"2024"	"2024"	"Male"	"M"	34861
	"0-4 years"	"0-4"	"Arizona"	"04"	"2013"	"2013"	"Female"	"F"	267631
	"0-4 years"	"0-4"	"Arizona"	"04"	"2013"	"2013"	"Male"	"M"	283101
	"0-4 years"	"0-4"	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	273260
	"0-4 years"	"0-4"	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	289121
	"0-4 years"	"0-4"	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	278840
	"0-4 years"	"0-4"	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	295099
	"0-4 years"	"0-4"	"Arizona"	"04"	"2016"	"2016"	"Female"	"F"	284335
	"0-4 years"	"0-4"	"Arizona"	"04"	"2016"	"2016"	"Male"	"M"	301001
	"0-4 years"	"0-4"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	289769
	"0-4 years"	"0-4"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	306840
	"0-4 years"	"0-4"	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	295200
	"0-4 years"	"0-4"	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	312651
