"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Projected Populations
	"2015"	"2015"	"< 1 year"	"1"	4000831
	"2015"	"2015"	"1-4 years"	"1-4"	15964283
	"2015"	"2015"	"5-9 years"	"5-9"	20462644
	"2015"	"2015"	"10-14 years"	"10-14"	20589578
	"2015"	"2015"	"15-19 years"	"15-19"	21092173
	"2015"	"2015"	"20-24 years"	"20-24"	22740123
	"2015"	"2015"	"25-29 years"	"25-29"	22473354
	"2015"	"2015"	"30-34 years"	"30-34"	21659146
	"2015"	"2015"	"35-39 years"	"35-39"	20346412
	"2015"	"2015"	"40-44 years"	"40-44"	20178013
	"2015"	"2015"	"45-49 years"	"45-49"	20816687
	"2015"	"2015"	"50-54 years"	"50-54"	22311510
	"2015"	"2015"	"55-59 years"	"55-59"	21811145
	"2015"	"2015"	"60-64 years "	"60-64"	19092720
	"2015"	"2015"	"65-69 years"	"65-69"	16094335
	"2015"	"2015"	"70-74 years"	"70-74"	11499746
	"2015"	"2015"	"75-79 years"	"75-79"	8126272
	"2015"	"2015"	"80-84 years"	"80-84"	5805712
	"2015"	"2015"	"85+ years"	"85+"	6304180
	"2016"	"2016"	"< 1 year"	"1"	4029356
	"2016"	"2016"	"1-4 years"	"1-4"	16009204
	"2016"	"2016"	"5-9 years"	"5-9"	20403263
	"2016"	"2016"	"10-14 years"	"10-14"	20595524
	"2016"	"2016"	"15-19 years"	"15-19"	21140881
	"2016"	"2016"	"20-24 years"	"20-24"	22471676
	"2016"	"2016"	"25-29 years"	"25-29"	23000966
	"2016"	"2016"	"30-34 years"	"30-34"	21863539
	"2016"	"2016"	"35-39 years"	"35-39"	20834325
	"2016"	"2016"	"40-44 years"	"40-44"	19743212
	"2016"	"2016"	"45-49 years"	"45-49"	20985070
	"2016"	"2016"	"50-54 years"	"50-54"	21879298
	"2016"	"2016"	"55-59 years"	"55-59"	22048668
	"2016"	"2016"	"60-64 years "	"60-64"	19570163
	"2016"	"2016"	"65-69 years"	"65-69"	16897174
	"2016"	"2016"	"70-74 years"	"70-74"	11849585
	"2016"	"2016"	"75-79 years"	"75-79"	8387160
	"2016"	"2016"	"80-84 years"	"80-84"	5879463
	"2016"	"2016"	"85+ years"	"85+"	6407001
	"2017"	"2017"	"< 1 year"	"1"	4057231
	"2017"	"2017"	"1-4 years"	"1-4"	16100019
	"2017"	"2017"	"5-9 years"	"5-9"	20282646
	"2017"	"2017"	"10-14 years"	"10-14"	20736037
	"2017"	"2017"	"15-19 years"	"15-19"	21109004
	"2017"	"2017"	"20-24 years"	"20-24"	22242774
	"2017"	"2017"	"25-29 years"	"25-29"	23471853
	"2017"	"2017"	"30-34 years"	"30-34"	22018253
	"2017"	"2017"	"35-39 years"	"35-39"	21260343
	"2017"	"2017"	"40-44 years"	"40-44"	19669549
	"2017"	"2017"	"45-49 years"	"45-49"	21002298
	"2017"	"2017"	"50-54 years"	"50-54"	21440876
	"2017"	"2017"	"55-59 years"	"55-59"	22087632
	"2017"	"2017"	"60-64 years "	"60-64"	20092224
	"2017"	"2017"	"65-69 years"	"65-69"	16926816
	"2017"	"2017"	"70-74 years"	"70-74"	12898351
	"2017"	"2017"	"75-79 years"	"75-79"	8762416
	"2017"	"2017"	"80-84 years"	"80-84"	5976301
	"2017"	"2017"	"85+ years"	"85+"	6491168
	"2018"	"2018"	"< 1 year"	"1"	4083375
	"2018"	"2018"	"1-4 years"	"1-4"	16217210
	"2018"	"2018"	"5-9 years"	"5-9"	20173887
	"2018"	"2018"	"10-14 years"	"10-14"	20839354
	"2018"	"2018"	"15-19 years"	"15-19"	21096902
	"2018"	"2018"	"20-24 years"	"20-24"	22105037
	"2018"	"2018"	"25-29 years"	"25-29"	23756735
	"2018"	"2018"	"30-34 years"	"30-34"	22261621
	"2018"	"2018"	"35-39 years"	"35-39"	21655048
	"2018"	"2018"	"40-44 years"	"40-44"	19821694
	"2018"	"2018"	"45-49 years"	"45-49"	20856454
	"2018"	"2018"	"50-54 years"	"50-54"	21003983
	"2018"	"2018"	"55-59 years"	"55-59"	22097327
	"2018"	"2018"	"60-64 years "	"60-64"	20521372
	"2018"	"2018"	"65-69 years"	"65-69"	17244518
	"2018"	"2018"	"70-74 years"	"70-74"	13498908
	"2018"	"2018"	"75-79 years"	"75-79"	9314079
	"2018"	"2018"	"80-84 years"	"80-84"	6146970
	"2018"	"2018"	"85+ years"	"85+"	6561991
	"2019"	"2019"	"< 1 year"	"1"	4107606
	"2019"	"2019"	"1-4 years"	"1-4"	16330429
	"2019"	"2019"	"5-9 years"	"5-9"	20214253
	"2019"	"2019"	"10-14 years"	"10-14"	20783161
	"2019"	"2019"	"15-19 years"	"15-19"	21111851
	"2019"	"2019"	"20-24 years"	"20-24"	22013151
	"2019"	"2019"	"25-29 years"	"25-29"	23874996
	"2019"	"2019"	"30-34 years"	"30-34"	22686334
	"2019"	"2019"	"35-39 years"	"35-39"	21915528
	"2019"	"2019"	"40-44 years"	"40-44"	20119675
	"2019"	"2019"	"45-49 years"	"45-49"	20575947
	"2019"	"2019"	"50-54 years"	"50-54"	20663152
	"2019"	"2019"	"55-59 years"	"55-59"	22095871
	"2019"	"2019"	"60-64 years "	"60-64"	20835118
	"2019"	"2019"	"65-69 years"	"65-69"	17683488
	"2019"	"2019"	"70-74 years"	"70-74"	14176191
	"2019"	"2019"	"75-79 years"	"75-79"	9736551
	"2019"	"2019"	"80-84 years"	"80-84"	6345957
	"2019"	"2019"	"85+ years"	"85+"	6614727
	"2020"	"2020"	"< 1 year"	"1"	4128810
	"2020"	"2020"	"1-4 years"	"1-4"	16438858
	"2020"	"2020"	"5-9 years"	"5-9"	20274054
	"2020"	"2020"	"10-14 years"	"10-14"	20734825
	"2020"	"2020"	"15-19 years"	"15-19"	21047799
	"2020"	"2020"	"20-24 years"	"20-24"	22059078
	"2020"	"2020"	"25-29 years"	"25-29"	23722107
	"2020"	"2020"	"30-34 years"	"30-34"	23167829
	"2020"	"2020"	"35-39 years"	"35-39"	22059714
	"2020"	"2020"	"40-44 years"	"40-44"	20568056
	"2020"	"2020"	"45-49 years"	"45-49"	20204066
	"2020"	"2020"	"50-54 years"	"50-54"	20637870
	"2020"	"2020"	"55-59 years"	"55-59"	21878589
	"2020"	"2020"	"60-64 years "	"60-64"	21140776
	"2020"	"2020"	"65-69 years"	"65-69"	18193559
	"2020"	"2020"	"70-74 years"	"70-74"	14881615
	"2020"	"2020"	"75-79 years"	"75-79"	10112489
	"2020"	"2020"	"80-84 years"	"80-84"	6526834
	"2020"	"2020"	"85+ years"	"85+"	6726530
	"2021"	"2021"	"< 1 year"	"1"	4145903
	"2021"	"2021"	"1-4 years"	"1-4"	16539784
	"2021"	"2021"	"5-9 years"	"5-9"	20349537
	"2021"	"2021"	"10-14 years"	"10-14"	20677132
	"2021"	"2021"	"15-19 years"	"15-19"	21059684
	"2021"	"2021"	"20-24 years"	"20-24"	22119841
	"2021"	"2021"	"25-29 years"	"25-29"	23465104
	"2021"	"2021"	"30-34 years"	"30-34"	23700669
	"2021"	"2021"	"35-39 years"	"35-39"	22267014
	"2021"	"2021"	"40-44 years"	"40-44"	21056220
	"2021"	"2021"	"45-49 years"	"45-49"	19778669
	"2021"	"2021"	"50-54 years"	"50-54"	20809613
	"2021"	"2021"	"55-59 years"	"55-59"	21465853
	"2021"	"2021"	"60-64 years "	"60-64"	21381847
	"2021"	"2021"	"65-69 years"	"65-69"	18658895
	"2021"	"2021"	"70-74 years"	"70-74"	15623913
	"2021"	"2021"	"75-79 years"	"75-79"	10425373
	"2021"	"2021"	"80-84 years"	"80-84"	6748298
	"2021"	"2021"	"85+ years"	"85+"	6835619
	"2022"	"2022"	"< 1 year"	"1"	4159190
	"2022"	"2022"	"1-4 years"	"1-4"	16630074
	"2022"	"2022"	"5-9 years"	"5-9"	20470477
	"2022"	"2022"	"10-14 years"	"10-14"	20558315
	"2022"	"2022"	"15-19 years"	"15-19"	21205407
	"2022"	"2022"	"20-24 years"	"20-24"	22100697
	"2022"	"2022"	"25-29 years"	"25-29"	23248134
	"2022"	"2022"	"30-34 years"	"30-34"	24176042
	"2022"	"2022"	"35-39 years"	"35-39"	22425008
	"2022"	"2022"	"40-44 years"	"40-44"	21483161
	"2022"	"2022"	"45-49 years"	"45-49"	19710181
	"2022"	"2022"	"50-54 years"	"50-54"	20831187
	"2022"	"2022"	"55-59 years"	"55-59"	21047277
	"2022"	"2022"	"60-64 years "	"60-64"	21431554
	"2022"	"2022"	"65-69 years"	"65-69"	19166430
	"2022"	"2022"	"70-74 years"	"70-74"	15671482
	"2022"	"2022"	"75-79 years"	"75-79"	11369452
	"2022"	"2022"	"80-84 years"	"80-84"	7063208
	"2022"	"2022"	"85+ years"	"85+"	6950803
	"2023"	"2023"	"< 1 year"	"1"	4169856
	"2023"	"2023"	"1-4 years"	"1-4"	16707648
	"2023"	"2023"	"5-9 years"	"5-9"	20616514
	"2023"	"2023"	"10-14 years"	"10-14"	20451322
	"2023"	"2023"	"15-19 years"	"15-19"	21313674
	"2023"	"2023"	"20-24 years"	"20-24"	22101124
	"2023"	"2023"	"25-29 years"	"25-29"	23122236
	"2023"	"2023"	"30-34 years"	"30-34"	24467514
	"2023"	"2023"	"35-39 years"	"35-39"	22672097
	"2023"	"2023"	"40-44 years"	"40-44"	21878807
	"2023"	"2023"	"45-49 years"	"45-49"	19864807
	"2023"	"2023"	"50-54 years"	"50-54"	20692480
	"2023"	"2023"	"55-59 years"	"55-59"	20629931
	"2023"	"2023"	"60-64 years "	"60-64"	21452347
	"2023"	"2023"	"65-69 years"	"65-69"	19586351
	"2023"	"2023"	"70-74 years"	"70-74"	15981837
	"2023"	"2023"	"75-79 years"	"75-79"	11918287
	"2023"	"2023"	"80-84 years"	"80-84"	7527907
	"2023"	"2023"	"85+ years"	"85+"	7112563
"---"
"Dataset: National Population Projections 2014-2060"
"Query Parameters:"
"Year: 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023"
"Group By: Year; Age Group"
"Show Totals: False"
"Show Zero Values: False"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/PopulationProjections-2060.html for more information."
"---"
"Query Date: Jun 3, 2024 2:16:49 PM"
"---"
"Suggested Citation: National Population Projections: United States by Age, Gender, Ethnicity and Race for years 2014-2060,"
"released by the U.S. Census Bureau on December 10, 2014, on CDC WONDER Online Database, 2015. Accessed at"
"http://wonder.cdc.gov/population-projections-2014-2060.html on Jun 3, 2024 2:16:49 PM"
"---"
Caveats:
"1. Population estimates and projections are updated periodically, population estimates and projections produced in the preceding"
