state,exc_std,bsn_std,dx_std,exposure,exc_r_std,bsn_r_std,mx_std,psc,rnk_exc_std,rnk_psc_std
Mississippi,12643.792716757851,63635.04728950438,76278.84000626222,5426326.888960815,233.0083125378987,1172.7094329492375,1405.7177454871362,0.19869228130271618,1,4
District of Columbia,1910.6937111565696,14022.55493841485,15933.24864957142,844373.4326751522,226.2853895228668,1660.705369896404,1886.990759419271,0.13625860048672128,2,20
West Virginia,6706.627223466513,37900.42236698784,44607.04959045435,3191391.453484808,210.14743321892644,1187.5830000610815,1397.730433280008,0.1769538913980057,3,7
New Mexico,7737.864000008003,31955.163121892376,39693.02712190038,3719062.6462460286,208.0595229504536,859.2262664396762,1067.2857893901298,0.24214753561082022,4,2
South Carolina,17108.916844700507,98076.60079759131,115185.51764229182,8646810.557675242,197.8639028874522,1134.2517584190014,1332.1156613064536,0.17444443124624165,5,8
Louisiana,16520.77524169976,91728.43608303412,108249.21132473389,8411071.646471595,196.4170076785655,1090.5677651849958,1286.9847728635616,0.18010527538859245,6,6
Georgia,38352.321202608364,222022.8680053004,260375.18920790878,19529030.870498292,196.38619784530962,1136.886256556137,1333.2724544014466,0.17274040979280011,7,9
Alaska,2729.783387344846,10920.674985671754,13650.458373016601,1395329.7321775309,195.6371547451215,782.6590900940031,978.2962448391247,0.24996471288875474,8,1
Arizona,29138.31640492671,124136.9948342674,153275.31123919412,15457345.275916073,188.50789630950933,803.0938859060356,991.601782215545,0.23472709681613158,9,3
Kentucky,14228.681954682874,100041.52782459588,114270.20977927874,7897020.647589069,180.17784921237148,1266.826215721472,1447.0040649338432,0.14222775545401714,10,16
Arkansas,9682.773783842065,63457.08784553031,73139.86162937238,5479839.5780584775,176.6981249343927,1158.0099552478748,1334.7080801822676,0.152587742560961,11,13
Tennessee,21028.988973491218,156930.2384571994,177959.2274306906,12176340.224507114,172.70369081151765,1288.8128580815157,1461.5165488930334,0.13400214757990436,12,21
Texas,88132.21894934247,529743.0201703772,617875.2391197197,51799250.473294005,170.14188071076538,1022.6847209758282,1192.8266016865937,0.16636787195609895,13,12
Oklahoma,11318.76152210071,80432.02220956393,91750.78373166463,6677196.635023406,169.51367678362575,1204.5777083706025,1374.0913851542282,0.1407245672949751,14,17
Alabama,14225.814682933826,102703.4294708409,116929.24415377472,8439118.725031316,168.56990814382738,1216.9923521304622,1385.5622602742897,0.13851353120562304,15,19
Nevada,10290.081966469272,60584.00203738487,70874.08400385414,6303796.045637277,163.23627687147044,961.0717351700133,1124.3080120414838,0.16984817147139802,16,10
Wyoming,1527.0795441719024,7893.0803451231695,9420.159889295073,944264.8208665975,161.72153303036617,835.8968978511036,997.6184308814701,0.1934706701820698,17,5
North Carolina,28500.7007844335,218706.23287476308,247206.93365919657,19340786.876167234,147.3606061992938,1130.8031791832873,1278.1637853825812,0.13031499107185365,18,23
Indiana,17314.517925632164,143620.38081753152,160934.89874316368,11827661.796420177,146.39003231283354,1214.2753427477985,1360.665375060632,0.12055752691277231,19,28
Delaware,2468.572380531706,18423.282316840316,20891.854697372022,1725467.1250188488,143.06690314396687,1067.7272287432925,1210.7941318872593,0.13399199654424437,20,22
Missouri,15706.635939536745,128722.08453615294,144428.72047568968,11075880.354969492,141.80936806968612,1162.1837760137803,1303.9931440834664,0.12201974506655362,21,27
Virginia,22681.568751199404,150205.2333377481,172886.8020889475,16041248.059114499,141.39528712238777,936.368746273472,1077.7640333958598,0.15100385151160572,22,14
Colorado,13406.251513520305,95886.85089176777,109293.10240528808,9485568.21644438,141.33314112146647,1010.8709220554264,1152.204063176893,0.1398132422625142,23,18
Ohio,28710.42647639732,243529.08363717835,272239.51011357567,20702202.40453423,138.68295708532497,1176.3438443816983,1315.0268014670235,0.11789321442678907,24,30
California,100801.52893849889,603012.8301014075,703814.3590399063,75910814.65463169,132.78941794672005,794.3701208383945,927.1595387851146,0.16716315790751465,25,11
Michigan,24433.52881555608,203731.11177818387,228164.64059373995,19042739.879306458,128.30889341773627,1069.8623888654608,1198.1712822831973,0.11993027771898948,26,29
Kansas,6577.519585333017,52323.465568653424,58900.98515398644,5154235.534852719,127.6138729178384,1015.1547249799587,1142.768597897797,0.12570879076621325,27,26
New York,44140.30447329396,301568.9652694685,345709.2697427625,34815581.31111254,126.78318962666619,866.1896596660094,992.9728492926758,0.1463688560719508,28,15
Illinois,29121.8401778901,227125.7267855998,256247.56696348992,23590363.416348983,123.44803538595596,962.7902833755982,1086.2383187615542,0.1282190291255745,29,24
Oregon,8206.879880034712,81092.6604363994,89299.54031643411,7684699.903393089,106.79506009611464,1055.2482394347485,1162.0432995308634,0.10120373207475825,30,33
Florida,45265.88890157057,353657.7524306972,398923.6413322678,42595870.61707824,106.268256161483,830.2629980496346,936.5312542111177,0.12799348689646178,31,25
Maryland,12241.958926027015,111407.76262308744,123649.72154911445,11667082.156287655,104.92733968989448,954.8896727623305,1059.8170124522248,0.10988425436245201,32,31
Idaho,3203.002484717965,34852.778869185284,38055.78135390325,3141848.0380801964,101.94644826536985,1109.3082302758928,1211.2546785412626,0.09190092120745832,33,36
Utah,5258.037085997302,59421.84069529449,64679.8777812918,5408957.271544033,97.20980998794894,1098.582179746671,1195.7919897346198,0.08848660735637016,34,39
South Dakota,1379.0580072083228,15136.417226546693,16515.475233755016,1427013.9391027628,96.63942092082209,1060.7056323544912,1157.3450532753131,0.09110861484378815,35,37
Wisconsin,10023.573461243699,106709.37542764583,116732.94888888953,10719816.562535426,93.50508381155495,995.440311922718,1088.945395734273,0.09393339077352365,36,35
Montana,1692.9386213027979,18607.103273771,20300.0418950738,1826162.2685737456,92.7047201903368,1018.9183948205966,1111.6231150109334,0.09098345918728806,37,38
Connecticut,5939.0338523063,58001.2552492871,63940.2891015934,6547753.912235208,90.7033760265265,885.8191072347006,976.5224832612271,0.1023949193302898,38,32
North Dakota,1005.8775985763086,12423.782442952455,13429.660041528765,1117633.2461747497,90.0006868996659,1111.6153251054875,1201.6160120051532,0.0809638774016769,39,43
New Jersey,15203.527251919862,151760.29646184522,166963.82371376507,16903355.941189513,89.94383899159595,897.8116356885143,987.7554746801102,0.10018119103860774,40,34
Iowa,4643.5730165334235,54764.82855695607,59408.40157348949,5364476.5410910435,86.56153085887108,1020.8792626357135,1107.4407934945846,0.08479115408357488,41,42
Washington,11222.686934906073,130174.07300705486,141396.75994196095,13434181.296698665,83.53830194076622,968.9765988124935,1052.5149007532598,0.08621291994372683,42,40
Pennsylvania,18328.723825743717,247512.78377991795,265841.50760566164,22759864.98744647,80.53089873711109,1087.496713695082,1168.0276124321929,0.0740516249134071,43,46
Minnesota,8461.516053372496,99425.27571191134,107886.79176528384,10582732.835052935,79.95586948340618,939.5047315433245,1019.4606010267307,0.08510427547508213,44,41
Maine,1911.0782975340303,25036.81720045961,26947.89549799364,2509853.723019388,76.14301502937698,997.5408913607913,1073.6839063901684,0.07633072056375233,45,45
New Hampshire,2006.2816209465643,25992.909442389853,27999.19106333642,2737798.155835552,73.28084492533617,949.4092684293246,1022.6901133546608,0.07718572733818987,46,44
Nebraska,2007.6543115766096,33958.40152550592,35966.05583708253,3211027.4132871903,62.523736274220575,1057.5556404466213,1120.0793767208418,0.0591209898401335,47,49
Hawaii,1440.4113314285437,22238.594372662403,23679.005704090945,2522381.1989383227,57.10521994196662,881.6508140015746,938.7560339435413,0.06477079024379444,48,47
Vermont,655.5956021185002,10860.076087171097,11515.671689289597,1234289.6324953076,53.11521581795289,879.8644824728675,932.9796982908204,0.060367496217908545,49,48
Rhode Island,959.5062559166795,20618.8998196199,21578.406075536583,2056216.0680451954,46.66368825864022,1002.7593957682611,1049.4230840269017,0.046535279006674354,50,51
Massachusetts,5686.13846001378,119617.5097745921,125303.64823460586,12229751.724594116,46.49430820888142,978.0861661650943,1024.5804743739757,0.04753600430847266,51,50
