state,age,dx,bsn,exc,exposure,exc_r,bsn_r,mx
Alabama,0,2098,2231.7548415840392,-133.75484158403944,2992297.9178644763,-4.469970746746258,74.58331031345915,70.1133395667129
Alabama,15,2474,2250.2468547716853,223.7531452283146,1973848.0581793291,11.335884963440588,114.003043215358,125.3389281787986
Alabama,25,5004,4026.6358716099394,977.3641283900605,1856899.819301848,52.63418727443935,216.84723266998122,269.48141994442057
Alabama,35,8039,6217.9394343460035,1821.0605656539963,1940113.683778234,93.86360092608643,320.4935610905546,414.35716201664104
Alabama,45,14215,12328.394042038813,1886.6059579611867,1974476.198494182,95.54969360481485,624.3880808206734,719.9377744254883
Alabama,55,31224,27892.890391915695,3331.109608084306,2112669.9377138945,157.67297809372326,1320.2673022411818,1477.9402803349053
Alabama,65,47484,40111.488105652854,7372.511894347141,1698988.1485284052,433.93545156468053,2360.904526638152,2794.839978202833
Alabama,75,53226,46305.156772690076,6920.843227309925,846065.1834360028,818.0035489940976,5473.001097224874,6291.004646218971
Alabama,85,47797,45518.09046139089,2278.9095386091094,351322.78097193706,648.6654615178924,12956.202366229927,13604.86782774782
Alaska,0,284,328.87761336234786,-44.87761336234789,640799.7837097878,-7.003375235637179,51.32299069428111,44.31961545864394
Alaska,15,441,381.6740195208519,59.3259804791481,338320.8904859685,17.535417453510334,112.81420398622456,130.3496214397349
Alaska,25,885,713.8514082681062,171.14859173189376,409984.3956194387,41.74514775697942,174.11672636700226,215.86187412398172
Alaska,35,1122,722.6508092945235,399.3491907054765,355273.50376454485,112.40612836980449,203.4068968378389,315.8130252076434
Alaska,45,1477,1255.0145713927725,221.98542860722756,256954.91581108829,86.3908082499694,488.41819874559303,574.8090069955624
Alaska,55,3008,2539.727121249703,468.27287875029697,269507.0855578371,173.75160203341076,942.3600555780822,1116.111657611493
Alaska,65,4167,3178.7836207932623,988.2163792067379,211594.8904859685,467.0322506073319,1502.2969663835322,1969.329216990864
Alaska,75,3904,3012.6949264196346,891.3050735803652,91704.83915126626,971.9280703498819,3285.2082336137387,4257.136303963621
Alaska,85,3206,2689.316938698798,516.6830613012023,34574.30869267625,1494.4132821103938,7778.367928057709,9272.781210168103
Arizona,0,2240.042155934054,2409.975160021459,-169.93300408740535,6125174.687200547,-2.774337268168128,39.345411079580416,36.57107381141229
Arizona,15,3512.0676300445148,2866.3920720216283,645.6755580228867,3683794.1498973304,17.527460323505917,77.81086443447218,95.33832475797807
Arizona,25,7156.145651084815,5065.171745770515,2090.9739053142994,3556768.4982888433,58.78858594030689,142.4093737955496,201.1979597358565
Arizona,35,9723.186862781613,6360.5040615756225,3362.682801205989,3237732.535249829,103.85919048580456,196.44933583387657,300.30852631968116
Arizona,45,15263.29039114016,12123.794220302696,3139.496170837465,3226969.3887748118,97.28930747711375,375.7021762423893,472.99148371950304
Arizona,55,32116.63560478934,25971.17827024099,6145.457334548346,3751118.4736481863,163.82999837836425,692.3582513506291,856.1882497289934
Arizona,65,53358.0725661275,40989.523960734994,12368.548605392505,3286809.8603696097,376.3086132400015,1247.0914260956251,1623.4000393356266
Arizona,75,67263.29013853574,52272.05616071861,14991.23397781713,1543034.3347022587,971.5424758004373,3387.614584143712,4359.157059944149
Arizona,85,66853.26899956226,59930.23915461348,6923.029844948789,572138.8774811772,1210.0261173348686,10474.771338464956,11684.797455799824
Arkansas,0,1343.034240275866,1390.571882924292,-47.537642648426015,2045165.6447638604,-2.3243908272239153,67.99311764719431,65.66872681997042
Arkansas,15,1430.0412873573796,1303.1645074261937,126.87677993118592,1308386.711156742,9.697192645667764,99.60086695424081,109.29805959990858
Arkansas,25,2616.0671239722446,2048.9651009619156,567.102023010329,1196379.257357974,47.40152585583017,171.26384366498888,218.66536952081904
Arkansas,35,4489.0987279031815,3398.6711979390448,1090.427529964136,1262848.932238193,86.34663277036088,269.1272971118926,355.4739298822535
Arkansas,45,8068.1918399456035,7047.077754444085,1021.1140855015187,1240680.6714579056,82.30273179815259,568.0009301799768,650.3036619781293
Arkansas,55,18345.42325139409,16088.632895253868,2256.790356140224,1354977.6899383983,166.55553614634238,1187.3725312765341,1353.9280674228764
Arkansas,65,28366.64421843307,23497.82691961865,4868.817298814421,1075034.092402464,452.89887392628526,2185.7750452458854,2638.6739191721704
Arkansas,75,32620.762440488288,28121.336535251823,4499.425905236463,530270.1765913757,848.5157385541039,5303.209151987067,6151.724890541172
Arkansas,85,30078.736870230277,28133.823303180125,1944.913567050152,218055.3223819302,891.9358380271865,12902.149324244843,13794.085162272033
California,0,8473.47894785407,9323.607916446896,-850.1289685928245,29622706.03832991,-2.8698558716844143,31.474531409732574,28.604675538048156
California,15,12283.717143854714,10043.325018769112,2240.3921250856024,17998622.7467488,12.447575331786416,55.8005196291105,68.2480949608969
