state,age,dx,bsn,exc,exposure,exc_r,bsn_r,mx
Alabama,0,1076,1162.9423806683262,-86.94238066832622,2541972.8637919235,-3.4202717860108125,45.74959855918904,42.32932677317823
Alabama,15,1347,1172.57836103637,174.4216389636298,1675792.1019849419,10.408310121346847,69.97158893680634,80.3798990581532
Alabama,25,2720,2098.2347251416095,621.7652748583903,1578384.2600958247,39.39251616844193,132.93560878605217,172.32812495449411
Alabama,35,4411,3240.0983987548398,1170.9016012451602,1650750.3764544833,70.9314756456423,196.2803368074337,267.211812453076
Alabama,45,8132,6424.187661620423,1707.812338379578,1677230.4599589324,101.82335577314727,383.0235507276514,484.84690650079864
Alabama,55,18118,14534.671887648568,3583.3281123514325,1802893.2313483916,198.7543161206194,806.1859479486772,1004.9402640692965
Alabama,65,27218,20901.645915833724,6316.3540841662725,1436424.3100616017,439.7275958031783,1455.116414378795,1894.8440101819735
Alabama,75,29751,24129.097090355506,5621.902909644492,709166.8015058179,792.7476156113281,3402.457227146095,4195.204842757424
Alabama,85,26567,23718.96567594063,2848.0343240593684,297058.62765229295,958.7448600863369,7984.607571709271,8943.352431795607
Alaska,0,146,172.97095789054615,-26.97095789054616,542456.9993155373,-4.9719992413366665,31.886574992819313,26.91457575148265
Alaska,15,235,200.73887086294155,34.26112913705846,285510.2457221082,11.999964852541714,70.30881513734677,82.30877998988848
Alaska,25,483,375.44532331426234,107.55467668573763,349610.22450376453,30.76416796402346,107.38968628482421,138.15385424884767
Alaska,35,612,380.07330880966157,231.92669119033843,297877.60506502393,77.85972736678576,127.5937842748182,205.45351164160397
Alaska,45,861,660.066431281315,200.93356871868502,218868.70636550308,91.8055267266637,301.58099905750214,393.3865257841658
Alaska,55,1660,1335.7523136096022,324.2476863903978,231145.82067077345,140.2784118914404,577.8829613848594,718.1613732762999
Alaska,65,2322,1671.8597602129712,650.1402397870288,178743.20533880903,363.72864554749555,935.3417138536533,1299.0703594011488
Alaska,75,2141,1584.5065339873108,556.4934660126893,76238.45174537988,729.9380473665158,2078.35612832121,2808.2941756877253
Alaska,85,1754,1414.4280670313892,339.5719329686109,28917.235455167694,1174.2890619508623,4891.297680320343,6065.586742271205
Arizona,0,1166.0301226656059,1243.896635493442,-77.86651282783629,5174336.428473648,-1.5048598772848976,24.039732489144953,22.534872611860056
Arizona,15,1947.0531193384454,1479.4739437733588,467.57917556508653,3103675.814510609,15.065335541135276,47.66844323290395,62.73377877403922
Arizona,25,4009.117337511996,2614.3630844329064,1394.7542530790897,3011320.602327173,46.3170295451508,86.8178261196269,133.1348556647777
Arizona,35,5440.147754659156,3282.942386080793,2157.205368578363,2732725.2635181383,78.93970891904277,120.13437391266693,199.0740828317097
Arizona,45,8964.239780628746,6257.6358006590735,2706.603979969673,2732259.754277892,99.06100529907343,229.027851062166,328.08885636123944
Arizona,55,18855.51544906469,13404.893878601431,5450.621570463256,3178645.8822724163,171.47621258668178,421.71712027947774,593.1933328661596
Arizona,65,30724.865169206598,21156.53795567839,9568.327213528215,2758512.069815195,346.86551921337934,766.954699498406,1113.820218711785
Arizona,75,37237.0243448709,26979.960568582443,10257.063776288458,1283013.7624914441,799.4507990600653,2102.8582356116667,2902.309034671732
Arizona,85,36557.006922053864,30932.693450698167,5624.313471355697,481314.77344284736,1168.5312360401801,6426.707667715335,7595.238903755516
Arkansas,0,709,726.4051990729475,-17.40519907294754,1735271.3422313484,-1.003024636513997,41.861188011027636,40.85816337451364
Arkansas,15,739,680.745443702648,58.254556297351996,1109710.4784394251,5.249527460466518,61.344418830754265,66.59394629122079
Arkansas,25,1476,1070.3358239401389,405.66417605986106,1015694.7399041753,39.93957634339359,105.37967579128338,145.319252134677
Arkansas,35,2571,1775.3936049178815,795.6063950821184,1073498.1752224504,74.11343712039871,165.3839425064681,239.49737962686683
Arkansas,45,4642,3681.2436537509047,960.7563462490955,1052925.4353182751,91.24638023001894,349.6205457927939,440.86692602281283
Arkansas,55,10659,8404.359907315007,2254.640092684992,1154526.5523613964,195.28698478813607,727.9486028385624,923.2355876266985
Arkansas,65,16063,12274.76540474287,3788.2345952571304,909117.3613963039,416.69368071893604,1350.1849074678528,1766.8785881867889
Arkansas,75,17923,14689.988568680921,3233.011431319079,444532.1067761807,727.2841223472934,3304.595628697129,4031.8797510444224
Arkansas,85,16822,14696.51139087668,2125.488609123321,184578.28473648184,1151.5377402915149,7962.210404034553,9113.748144326068
California,0,4437.290616522365,4894.445114601202,-457.1544980788374,25121205.488021903,-1.8197952255787018,19.483321041002323,17.663525815423622
California,15,6865.45556008514,5272.261930465154,1593.193629619986,15240299.510609172,10.45382099289402,34.594214679278416,45.04803567217243
California,25,14857.962367227561,9635.513183263902,5222.4491839636585,18254931.627652295,28.608429165808385,52.78306914427536,81.39149831008375
California,35,21093.376553130154,13214.113525373406,7879.263027756745,15687589.485968515,50.22609136224664,84.23291250190181,134.45900386414846
California,45,36767.37723648365,27495.352289284187,9272.02494719946,14008820.93155373,66.18704737894805,196.27170925822273,262.4587566371708
California,55,78132.04230686114,60660.917763360456,17471.124543500693,13792447.237508556,126.67167938107441,439.81257799118566,566.4842573722601
California,65,114315.32241340357,86456.09438125684,27859.22803214671,10412203.930184804,267.56321926603147,830.3342400989869,1097.8974593650184
California,75,135598.65977206186,109341.8446412542,26256.815130807656,5282160.67008898,497.0847494187516,2070.021180166265,2567.105929585017
California,85,180084.5131742246,160785.33491414064,19299.17826008395,2410958.717316906,800.477342123946,6668.93770346572,7469.415045589665
Colorado,0,828.0133944720808,857.1260889497662,-29.112694477685352,3180395.289527721,-0.9153797508613623,26.95030054195077,26.03492079108941
Colorado,15,1334.0236877202906,1054.0080142827778,280.0156734375128,2021662.566735113,13.850762142256238,52.13570412914899,65.98646627140523
Colorado,25,2719.0508563151734,2000.1698783831416,718.8809779320321,2090619.9445585215,34.38601931466023,95.67352897350837,130.05954828816857
Colorado,35,3704.0746480648777,2466.0401666711273,1238.0344813937504,1997667.5154004106,61.97400077087403,123.44597625280184,185.41997702367587
Colorado,45,5391.1120725640785,4370.277132392005,1020.8349401720732,1827542.932238193,55.858328806637445,239.13403375097317,294.99236255761065
Colorado,55,11186.245143284348,9570.091803687113,1616.1533395972338,1714295.8021902805,94.27505670446989,558.2520701188107,652.5271268232806
Colorado,65,17349.40367994458,13481.3957853028,3868.007894641777,1304019.3778234087,296.6219643988746,1033.8340069612418,1330.4559713601166
Colorado,75,20220.487990430902,16439.640765306456,3780.8472251244466,612268.2286105407,617.5148486317123,2685.039006942101,3302.553855573813
Colorado,85,23980.588527203676,22480.906213024813,1499.682314178857,273340.64407939767,548.6495867563851,8224.501807530221,8773.15139428661
Connecticut,0,374.0267266177948,387.85396528984154,-13.827238672046747,1951177.9801505818,-0.7086610659156595,19.87793882646774,19.16927776055208
Connecticut,15,467.02540093440905,473.5075626011285,-6.482161666719406,1186401.645448323,-0.5463716011848496,39.9112361667534,39.36486456556854
Connecticut,25,1212.0785392642379,1053.1773303204718,158.90120894376622,1376373.3483915126,11.544920506450143,76.5182885553007,88.06320906175083
Connecticut,35,1820.122057748541,1375.2831117586916,444.8389459898493,1345524.7686516084,33.060628563206315,102.21165331180823,135.27228187501453
Connecticut,45,3130.1950201262484,2871.8082873171625,258.38673280908574,1281080.5503080082,20.169436866945034,224.170781972039,244.34021883898407
Connecticut,55,7433.494659670561,6278.6499606562375,1154.8446990143239,1376981.4661190966,83.86784625861043,455.97200217604023,539.8398484346507
Connecticut,65,10684.700962282535,9108.234643665019,1576.4663186175167,988038.1368925393,159.55520943509651,921.8505140207604,1081.405723455857
Connecticut,75,14661.948724975138,12717.14642333706,1944.8023016380782,569204.1984941821,341.6704069968233,2234.197579178089,2575.867986174912
Connecticut,85,22249.407908380534,22607.12094105439,-357.713032673857,299726.8980150582,-119.34632328390013,7542.573286138174,7423.2269628542745
Delaware,0,195,177.67696144579003,17.323038554209973,511997.250513347,3.3834241369150457,34.702717889138015,38.08614202605306
Delaware,15,210,180.761630915335,29.23836908466501,310899.8281998631,9.404433979252321,58.14143801942912,67.54587199868143
Delaware,25,423,433.0875935241131,-10.087593524113174,315400.2915811088,-3.198346289898414,137.31363130738885,134.11528501749044
Delaware,35,631,528.0954131860981,102.90458681390186,334303.88637919235,30.781750080278698,157.96867302556362,188.75042310584234
Delaware,45,1050,1010.5377182229307,39.46228177706928,342782.26146475016,11.512346528213614,294.8045543269306,306.31690085514424
Delaware,55,2628,2217.2604147089214,410.73958529107847,402207.4024640657,102.12133908395062,551.2729007783533,653.3942398623041
Delaware,65,4272,3384.499341984737,887.5006580152633,305645.2737850787,290.3695015547105,1107.3291924561618,1397.6986940108723
Delaware,75,5184,4150.731238219706,1033.268761780294,149284.9555099247,692.1452722753437,2780.4082628699703,3472.553535145314
Delaware,85,5516,5135.974666792367,380.02533320763223,60550.48323066393,627.6173416485306,8482.136545842479,9109.753887491011
District of Columbia,0,315,164.68802766926174,150.31197233073826,259572.58247775497,57.90749196079666,63.4458485935722,121.35334055436887
District of Columbia,15,212,166.80847437744967,45.191525622550316,193781.93018480492,23.320815093260915,86.08051030267303,109.40132539593395
District of Columbia,25,473,315.94655951999994,157.05344048,250687.19438740588,62.64916756669008,126.03218935537002,188.68135692206013
District of Columbia,35,616,426.2097883457718,189.79021165422822,187085.69130732375,101.44560512779238,227.81527831844784,329.2608834462402
District of Columbia,45,988,866.5558880794631,121.44411192053695,150259.1950718686,80.8230816506441,576.7073939568168,657.5304756074609
District of Columbia,55,2323,1861.0453942195973,461.95460578040274,125099.18412046543,369.27067832477564,1487.655900639197,1856.9265789639726
District of Columbia,65,2819,2051.178782387114,767.821217612886,96416.07802874743,796.3622181187999,2127.423998490723,2923.786216609523
District of Columbia,75,2369,1985.4449344332884,383.5550655667115,51177.65708418891,749.4580397374403,3879.515100050725,4628.973139788166
District of Columbia,85,2253,2693.6741349680533,-440.6741349680535,24758.885694729637,-1779.8625527879017,10879.62587727221,9099.763324484311
Florida,0,3258.0956963198328,3527.439766250176,-269.34406993034327,11746067.343600273,-2.2930574297881297,30.030815106573232,27.737757676785105
Florida,15,4071.1187847494393,3522.490710106718,548.6280746427217,7237093.109514032,7.580779552517902,48.672728909290655,56.25350846180855
Florida,25,9757.288695661928,7492.871001196445,2264.417694465482,7703371.385352498,29.395151566639218,97.26742521389652,126.66257678053574
Florida,35,14778.442504464794,9994.61888171481,4783.823622749986,7562659.301163587,63.25583941106469,132.15746582920963,195.41330524027427
Florida,45,25161.75326525072,20599.827565128835,4561.92570012189,7774665.464750171,58.67681022167919,264.9609511628136,323.63776138449276
Florida,55,58733.7315758617,47849.949323030276,10883.782252831421,10282257.76659822,105.85012066306336,465.36422650743305,571.2143471704965
