phase,state,age,dx,dx_all,exc_tot,bsn_tot,cx_bsn,bsn,exc
1,Alabama,0,202,19640,1499.066055,18140.933945,0.011942015361971082,216.63931185169267,-14.639311851692668
1,Alabama,15,239,19640,1499.066055,18140.933945,0.012040965256218382,218.4343553470977,20.565644652902307
1,Alabama,25,475,19640,1499.066055,18140.933945,0.02154633947234969,390.87072112444184,84.12927887555816
1,Alabama,35,727,19640,1499.066055,18140.933945,0.033271901940654804,603.5833753299361,123.41662467006392
1,Alabama,45,1328,19640,1499.066055,18140.933945,0.06596865762099717,1196.7330603428306,131.26693965716936
1,Alabama,55,2920,19640,1499.066055,18140.933945,0.1492535467352719,2707.5987323815384,212.4012676184616
1,Alabama,65,4235,19640,1499.066055,18140.933945,0.21463468935917573,3893.6737219704014,341.3262780295986
1,Alabama,75,4850,19640,1499.066055,18140.933945,0.24777671956363095,4494.901102712619,355.0988972873811
1,Alabama,85,4664,19640,1499.066055,18140.933945,0.24356516468973025,4418.499563939443,245.50043606055715
1,Alaska,0,26,1469,17.037262000000002,1451.962738,0.022187592757494806,32.21555792980113,-6.215557929801129
1,Alaska,15,41,1469,17.037262000000002,1451.962738,0.02574948055802909,37.38728629311368,3.6127137068863178
1,Alaska,25,77,1469,17.037262000000002,1451.962738,0.048159691303057285,69.92607724562184,7.0739227543781595
1,Alaska,35,76,1469,17.037262000000002,1451.962738,0.048753339269813,70.7880319728406,5.211968027159401
1,Alaska,45,103,1469,17.037262000000002,1451.962738,0.0846690412585337,122.93629296957555,-19.936292969575547
1,Alaska,55,263,1469,17.037262000000002,1451.962738,0.1713416444048679,248.78168314351439,14.218316856485615
1,Alaska,65,305,1469,17.037262000000002,1451.962738,0.21445532799050163,311.38114520777674,-6.38114520777674
1,Alaska,75,321,1469,17.037262000000002,1451.962738,0.20325022261798753,295.1117497315227,25.888250268477293
1,Alaska,85,257,1469,17.037262000000002,1451.962738,0.18143365983971504,263.4349135062333,-6.434913506233272
1,Arizona,0,207,24136,2249.415168,21886.584832,0.011587041017222608,253.6007561753062,-46.6007561753062
1,Arizona,15,361,24136,2249.415168,21886.584832,0.013781470888546655,301.6293317119148,59.3706682880852
1,Arizona,25,677,24136,2249.415168,21886.584832,0.02435309448459104,533.0060683587132,143.99393164128685
1,Arizona,35,813,24136,2249.415168,21886.584832,0.030580988001150805,669.3133881335613,143.68661186643874
1,Arizona,45,1344,24136,2249.415168,21886.584832,0.058290601183525415,1275.7821877115086,68.21781228849136
1,Arizona,55,3000,24136,2249.415168,21886.584832,0.12486813676544421,2732.9370681306727,267.06293186932726
1,Arizona,65,4834,24136,2249.415168,21886.584832,0.19707559782700673,4313.311790157898,520.688209842102
1,Arizona,75,6233,24136,2249.415168,21886.584832,0.25132145294950553,5500.568300080849,732.4316999191506
1,Arizona,85,6667,24136,2249.415168,21886.584832,0.288141616883007,6306.435941539576,360.56405846042435
1,Arkansas,0,131.02085661080076,11205,183.61314,11021.38686,0.012524281770780084,138.03495453941315,-7.014097928612387
1,Arkansas,15,147.02756052141527,11205,183.61314,11021.38686,0.01173704120233105,129.35847168265005,17.66908883876522
1,Arkansas,25,271.05065176908755,11205,183.61314,11021.38686,0.018454145792863714,203.39027995399243,67.66037181509512
1,Arkansas,35,404.0685288640596,11205,183.61314,11021.38686,0.03061036703813516,337.36869705388,66.6998318101796
1,Arkansas,45,727.1310986964618,11205,183.61314,11021.38686,0.06346999284326756,699.5273451270831,27.603753569378682
1,Arkansas,55,1625.289757914339,11205,183.61314,11021.38686,0.14490338411205397,1597.0362536221246,28.253504292214302
1,Arkansas,65,2448.4290502793297,11205,183.61314,11021.38686,0.21163480216746755,2332.5090277272266,115.92002255210309
1,Arkansas,75,2759.492364990689,11205,183.61314,11021.38686,0.2532767610673755,2791.461166371332,-31.96880138064307
