state,year,age,pop
Alabama,2013,0,907480
Alabama,2013,15,600966
Alabama,2013,25,573292
Alabama,2013,35,598109
Alabama,2013,45,643373
Alabama,2013,55,612889
Alabama,2013,65,396369
Alabama,2013,75,209988
Alabama,2013,85,94191
Alabama,2014,0,907786
Alabama,2014,15,597796
Alabama,2014,25,569930
Alabama,2014,35,598315
Alabama,2014,45,635146
Alabama,2014,55,621104
Alabama,2014,65,412045
Alabama,2014,75,212261
Alabama,2014,85,95549
Alabama,2015,0,906909
Alabama,2015,15,593857
Alabama,2015,25,567080
Alabama,2015,35,596583
Alabama,2015,45,629215
Alabama,2015,55,629887
Alabama,2015,65,427480
Alabama,2015,75,214968
Alabama,2015,85,97132
Alabama,2016,0,903534
Alabama,2016,15,593508
Alabama,2016,25,564161
Alabama,2016,35,593668
Alabama,2016,45,625267
Alabama,2016,55,637994
Alabama,2016,65,441640
Alabama,2016,75,218011
Alabama,2016,85,98486
Alabama,2017,0,902557
Alabama,2017,15,592242
Alabama,2017,25,563133
Alabama,2017,35,590540
Alabama,2017,45,619658
Alabama,2017,55,643554
Alabama,2017,65,455240
Alabama,2017,75,222805
Alabama,2017,85,99681
Alabama,2018,0,901916
Alabama,2018,15,591300
Alabama,2018,25,562854
Alabama,2018,35,588937
Alabama,2018,45,612487
Alabama,2018,55,646932
Alabama,2018,65,467079
Alabama,2018,75,230210
Alabama,2018,85,100804
Alabama,2019,0,901443
Alabama,2019,15,591703
Alabama,2019,25,562165
Alabama,2019,35,588205
Alabama,2019,45,604009
Alabama,2019,55,648501
Alabama,2019,65,480712
Alabama,2019,75,237061
Alabama,2019,85,101859
Alabama,2020,0,901333
Alabama,2020,15,592774
Alabama,2020,25,560995
Alabama,2020,35,586934
Alabama,2020,45,597144
Alabama,2020,55,647128
Alabama,2020,65,496617
Alabama,2020,75,242279
Alabama,2020,85,103711
Alabama,2021,0,901670
Alabama,2021,15,594268
Alabama,2021,25,559854
Alabama,2021,35,586392
Alabama,2021,45,593866
Alabama,2021,55,641372
Alabama,2021,65,510792
Alabama,2021,75,248828
Alabama,2021,85,105321
Alabama,2022,0,902456
Alabama,2022,15,596269
Alabama,2022,25,559290
Alabama,2022,35,583884
Alabama,2022,45,594532
Alabama,2022,55,631771
Alabama,2022,65,519093
Alabama,2022,75,262005
Alabama,2022,85,106838
Alabama,2023,0,903743
Alabama,2023,15,598159
Alabama,2023,25,558944
Alabama,2023,35,580714
Alabama,2023,45,596533
Alabama,2023,55,621681
Alabama,2023,65,526931
Alabama,2023,75,274737
Alabama,2023,85,108901
Alabama,2024,0,905516
Alabama,2024,15,599787
Alabama,2024,25,557947
