phase,state,rnk_std,rnk_raw
1,District of Columbia,1,3
1,New York,2,1
1,New Jersey,3,2
1,Connecticut,4,4
1,Massachusetts,5,5
1,Louisiana,6,6
1,Maryland,7,8
1,Illinois,8,11
1,Michigan,9,9
1,Rhode Island,10,7
1,Delaware,11,10
1,Mississippi,12,13
1,Indiana,13,14
1,Pennsylvania,14,12
1,Colorado,15,16
1,Georgia,16,19
1,New Mexico,17,15
1,Virginia,18,18
1,Alabama,19,17
1,Ohio,20,20
1,Minnesota,21,23
1,South Carolina,22,21
1,Arizona,23,22
1,New Hampshire,24,24
1,West Virginia,25,25
1,Missouri,26,26
1,North Dakota,27,27
1,California,28,28
1,North Carolina,29,31
1,Kentucky,30,29
1,Wisconsin,31,30
1,Iowa,32,34
1,Vermont,33,32
1,Wyoming,34,33
1,Tennessee,35,35
1,Texas,36,38
1,Nevada,37,37
1,Florida,38,36
1,Kansas,39,39
1,Washington,40,40
1,Utah,41,43
1,Nebraska,42,44
1,Oklahoma,43,41
1,Arkansas,44,42
1,Oregon,45,45
1,South Dakota,46,47
1,Alaska,47,46
1,Maine,48,48
1,Hawaii,49,49
1,Idaho,50,50
1,Montana,51,51
2,Mississippi,1,1
2,Texas,2,12
2,Alabama,3,2
2,South Carolina,4,3
2,Georgia,5,15
2,Arizona,6,6
2,Arkansas,7,7
2,Tennessee,8,9
2,Oklahoma,9,8
2,New Mexico,10,4
2,District of Columbia,11,23
2,South Dakota,12,5
2,Louisiana,13,13
2,California,14,20
2,Nevada,15,21
2,Kentucky,16,17
2,North Dakota,17,10
2,Missouri,18,14
2,West Virginia,19,11
2,Ohio,20,16
2,Indiana,21,22
2,Kansas,22,19
2,North Carolina,23,24
2,Wyoming,24,18
2,Illinois,25,32
2,Virginia,26,31
2,Delaware,27,28
2,Iowa,28,26
2,Montana,29,25
2,Wisconsin,30,30
2,Alaska,31,39
2,Colorado,32,35
2,Maryland,33,34
2,Utah,34,41
2,Florida,35,27
2,Pennsylvania,36,29
2,Nebraska,37,33
2,Idaho,38,37
2,Michigan,39,36
2,Minnesota,40,40
2,Rhode Island,41,38
2,New York,42,43
2,Connecticut,43,42
2,New Jersey,44,44
2,Oregon,45,45
2,New Hampshire,46,47
2,Washington,47,48
2,Maine,48,46
2,Vermont,49,49
2,Hawaii,50,50
2,Massachusetts,51,51
3,West Virginia,1,1
3,District of Columbia,2,8
3,Alaska,3,11
3,New Mexico,4,2
3,Mississippi,5,3
3,Kentucky,6,5
3,Tennessee,7,6
3,South Carolina,8,7
3,Louisiana,9,10
3,Georgia,10,16
3,Oklahoma,11,12
3,Arkansas,12,9
3,Wyoming,13,4
3,Arizona,14,14
3,Alabama,15,13
3,Nevada,16,17
3,Texas,17,23
3,Ohio,18,18
3,North Carolina,19,21
3,Colorado,20,28
3,Indiana,21,22
3,Idaho,22,24
3,Missouri,23,20
3,Montana,24,15
3,Michigan,25,26
3,Oregon,26,27
3,Kansas,27,29
3,Virginia,28,30
3,Florida,29,19
3,Delaware,30,25
3,Utah,31,40
3,North Dakota,32,33
3,Washington,33,32
3,Illinois,34,35
3,Maine,35,31
3,Wisconsin,36,34
3,South Dakota,37,36
3,California,38,38
3,Pennsylvania,39,37
3,Minnesota,40,41
3,Iowa,41,39
3,Nebraska,42,43
3,Maryland,43,44
3,Hawaii,44,42
3,New York,45,46
3,Vermont,46,45
3,New Hampshire,47,47
3,Connecticut,48,48
3,New Jersey,49,49
3,Rhode Island,50,50
3,Massachusetts,51,51
4,Alaska,1,3
4,West Virginia,2,1
4,District of Columbia,3,4
4,New Mexico,4,2
4,Oregon,5,5
4,Kentucky,6,8
4,Arizona,7,7
4,Mississippi,8,11
4,Wyoming,9,6
4,South Carolina,10,9
4,Colorado,11,18
4,Washington,12,14
4,Arkansas,13,13
4,Virginia,14,15
4,Louisiana,15,16
4,Nevada,16,19
4,Maine,17,10
4,Delaware,18,12
4,Georgia,19,23
4,North Carolina,20,20
4,California,21,21
4,Hawaii,22,17
4,New Hampshire,23,22
4,Tennessee,24,24
4,Oklahoma,25,25
4,Missouri,26,26
4,Kansas,27,27
4,Indiana,28,29
4,Texas,29,34
4,Minnesota,30,30
4,Illinois,31,32
4,Vermont,32,28
4,Wisconsin,33,33
4,Utah,34,39
4,Michigan,35,35
4,Florida,36,31
4,Alabama,37,36
4,Iowa,38,40
4,New York,39,38
4,Connecticut,40,37
4,Ohio,41,41
4,Idaho,42,42
4,North Dakota,43,45
4,Maryland,44,43
4,South Dakota,45,47
4,Montana,46,44
4,Massachusetts,47,46
4,Nebraska,48,48
4,Pennsylvania,49,49
4,New Jersey,50,50
4,Rhode Island,51,51
5,Alaska,1,1
5,New Mexico,2,2
5,Wyoming,3,3
5,Oregon,4,5
5,Arizona,5,4
5,District of Columbia,6,8
5,Colorado,7,9
5,California,8,10
5,Delaware,9,6
5,West Virginia,10,7
5,Nevada,11,14
5,Virginia,12,13
5,South Carolina,13,11
5,Kentucky,14,15
5,Hawaii,15,12
5,Washington,16,16
5,Kansas,17,17
5,Louisiana,18,18
5,North Carolina,19,21
5,Minnesota,20,23
5,Arkansas,21,22
5,New Hampshire,22,19
5,Maine,23,20
5,Texas,24,24
5,Mississippi,25,25
5,Wisconsin,26,28
5,Georgia,27,27
5,Vermont,28,26
5,Nebraska,29,32
5,Illinois,30,30
5,Missouri,31,29
5,Iowa,32,34
5,Alabama,33,33
5,Tennessee,34,31
5,Michigan,35,35
5,Florida,36,37
5,Oklahoma,37,38
5,Ohio,38,39
5,New York,39,42
5,Utah,40,36
5,Indiana,41,41
5,Idaho,42,40
5,Montana,43,44
5,Maryland,44,43
5,Connecticut,45,45
5,Rhode Island,46,46
5,North Dakota,47,49
5,Massachusetts,48,47
5,Pennsylvania,49,48
5,South Dakota,50,51
5,New Jersey,51,50
