state,rnk_exc_std,rnk_psc_std,rnk_exc_raw,rnk_psc_raw
Mississippi,1,5,3,5
District of Columbia,2,21,4,13
New Mexico,3,2,2,3
West Virginia,4,7,1,6
Alaska,5,1,14,1
South Carolina,6,8,5,10
Louisiana,7,6,7,7
Georgia,8,11,16,12
Arizona,9,3,8,2
Kentucky,10,16,9,17
Arkansas,11,14,10,14
Texas,12,12,19,11
Wyoming,13,4,6,4
Tennessee,14,23,12,20
Nevada,15,10,17,9
Alabama,16,20,11,21
Oklahoma,17,19,13,22
North Carolina,18,22,21,23
Delaware,19,18,15,18
Colorado,20,15,25,15
Virginia,21,13,24,16
Indiana,22,29,22,29
Missouri,23,27,18,27
California,24,9,28,8
Ohio,25,30,20,31
Kansas,26,24,23,24
Michigan,27,28,29,28
New York,28,17,26,19
Illinois,29,25,31,25
Oregon,30,31,30,30
Florida,31,26,27,26
Maryland,32,32,41,32
Idaho,33,36,38,35
Wisconsin,34,34,35,33
Utah,35,40,48,40
Montana,36,39,32,36
Washington,37,35,40,34
Iowa,38,41,37,42
South Dakota,39,43,34,41
Connecticut,40,33,39,38
Minnesota,41,38,43,37
North Dakota,42,45,33,43
New Jersey,43,37,44,39
Maine,44,44,36,44
New Hampshire,45,42,45,45
Pennsylvania,46,47,42,47
Nebraska,47,49,47,49
Hawaii,48,46,46,46
Vermont,49,48,49,48
Rhode Island,50,50,50,50
Massachusetts,51,51,51,51
